date,type,price
2022-04-03,DIE,1.83020496323529
2022-04-04,DIE,1.82263264388489
2022-04-05,DIE,1.82000318906606
2022-04-06,DIE,1.81478235025149
2022-04-07,DIE,1.80791192411924
2022-04-08,DIE,1.80090859481583
2022-04-09,DIE,1.79170908252651
2022-04-10,DIE,1.78135671710225
2022-04-11,DIE,1.77205922551253
2022-04-12,DIE,1.77397153351699
2022-04-13,DIE,1.77101691042048
2022-04-14,DIE,1.7742547857794
2022-04-15,DIE,1.77941038602941
2022-04-16,DIE,1.79524200278164
2022-04-17,DIE,1.7863776844071
2022-04-18,DIE,1.78092093023256
2022-04-19,DIE,1.77518010133579
2022-04-20,DIE,1.79154498834499
2022-04-21,DIE,1.79783387470998
2022-04-22,DIE,1.80640353324035
2022-04-23,DIE,1.81309459459459
2022-04-24,DIE,1.8048043579045
2022-04-25,DIE,1.79583648960739
2022-04-26,DIE,1.79978246902249
2022-04-27,DIE,1.79736674364896
2022-04-28,DIE,1.80488009259259
2022-04-30,DIE,1.83300046926326
2022-05-01,DIE,1.82806669776119
2022-05-02,DIE,1.82253752345216
2022-05-03,DIE,1.84793119266055
2022-05-04,DIE,1.86532679141944
2022-05-05,DIE,1.87114762340037
2022-05-06,DIE,1.87377722095672
2022-05-07,DIE,
2022-05-08,DIE,1.8661026459854
2022-05-09,DIE,1.8549196347032
2022-05-10,DIE,1.86002155963303
2022-05-11,DIE,1.85555757026292
2022-05-12,DIE,1.85649181073703
2022-05-13,DIE,1.85297775760327
2022-05-14,DIE,1.85240625
2022-05-15,DIE,1.84349564819056
2022-05-16,DIE,1.83430996813837
2022-05-17,DIE,1.84176675849403
2022-05-18,DIE,1.84236892321672
2022-05-19,DIE,1.84091996361983
2022-05-20,DIE,1.83439622641509
2022-05-21,DIE,1.82669483782549
2022-05-22,DIE,1.81673777980813
2022-05-23,DIE,1.80653615279673
2022-05-24,DIE,1.80364439359268
2022-05-25,DIE,1.799303514377
2022-05-26,DIE,1.80007470210816
2022-05-27,DIE,1.78656598639456
2022-05-28,DIE,1.8039082867784
2022-05-29,DIE,1.79595475746269
2022-05-30,DIE,1.78941917554423
2022-05-31,DIE,1.8001380733945
2022-06-01,DIE,1.8299341563786
2022-06-02,DIE,1.84934461683122
2022-06-03,DIE,1.87184467386204
2022-06-04,DIE,1.89713156649314
2022-06-05,DIE,1.89115529411765
2022-06-06,DIE,1.88835603569751
2022-06-07,DIE,1.88490407112775
2022-06-08,DIE,1.93042757335817
2022-06-09,DIE,1.96279861111111
2022-06-10,DIE,1.98924726277372
2022-06-11,DIE,2.01345796562935
2022-06-12,DIE,2.00112098650535
2022-06-13,DIE,1.99850507380074
2022-06-14,DIE,2.02104861111111
2022-06-15,DIE,2.03493741371376
2022-06-16,DIE,2.04986066697122
2022-06-17,DIE,2.04110553231055
2022-06-18,DIE,2.05499223744292
2022-06-19,DIE,2.04908036117381
2022-06-20,DIE,2.04149408014572
2022-06-21,DIE,2.04843719045475
2022-06-22,DIE,2.05386744073537
2022-06-23,DIE,2.05766285452882
2022-06-24,DIE,2.06111486486486
2022-06-25,DIE,2.06272877466728
2022-06-26,DIE,2.05544117647059
2022-06-27,DIE,2.04591647956893
2022-06-28,DIE,2.05167243735763
2022-06-29,DIE,2.05154179990863
2022-06-30,DIE,2.05259482758621
2022-01-01,SUP,1.37248395313296
2022-01-02,SUP,1.36704117344313
2022-01-03,SUP,1.358791113381
2022-01-04,SUP,1.37265590312815
2022-01-05,SUP,1.37036460446247
2022-01-06,SUP,1.38017087967644
2022-01-07,SUP,1.36970034843206
2022-01-09,SUP,1.37244937027708
2022-01-10,SUP,1.3648157763355
2022-01-11,SUP,1.3760969051243
2022-01-12,SUP,1.38337939826619
2022-01-13,SUP,1.38972353236327
2022-01-14,SUP,1.39323538461538
2022-01-15,SUP,1.39677800407332
2022-01-16,SUP,1.38874162436548
2022-01-17,SUP,1.38046134152586
2022-01-18,SUP,1.39232890025575
2022-01-19,SUP,1.39807778915046
2022-01-20,SUP,1.40548940568475
2022-01-21,SUP,1.40862241735537
2022-01-22,SUP,1.41193145780051
2022-01-23,SUP,1.40362716174975
2022-01-24,SUP,1.39525077239959
2022-01-25,SUP,1.40586215797625
2022-01-26,SUP,1.40964028411974
2022-01-27,SUP,1.41092986075297
2022-01-28,SUP,1.41565559529893
2022-01-29,SUP,1.42160834181078
2022-01-30,SUP,1.41280460358056
2022-01-31,SUP,1.40513986727922
2022-02-01,SUP,1.41931908237748
2022-02-02,SUP,1.42688399792853
2022-02-03,SUP,1.4328134635149
2022-02-05,SUP,1.43865469471524
2022-02-06,SUP,1.42918528049408
2022-02-07,SUP,1.42120520833333
2022-02-08,SUP,1.435625
2022-02-09,SUP,1.44001698404529
2022-02-10,SUP,1.4455324407827
2022-02-11,SUP,1.44442753623188
2022-02-12,SUP,1.4559025141098
2022-02-13,SUP,1.44806970784213
2022-02-14,SUP,1.43962506446622
2022-02-15,SUP,1.45455561172902
2022-02-16,SUP,1.46312506380807
2022-02-17,SUP,1.46629448169159
2022-02-18,SUP,1.46934784836066
2022-02-19,SUP,1.47458712314768
2022-02-20,SUP,1.46560794297352
2022-02-21,SUP,1.45577154513004
2022-02-22,SUP,1.46293482688391
2022-02-23,SUP,1.46641683884298
2022-02-24,SUP,1.47054080578512
2022-02-25,SUP,1.49217518987342
2022-02-26,SUP,1.50983472367049
2022-02-27,SUP,1.50250105263158
2022-02-28,SUP,1.49638054968288
2022-03-01,SUP,1.51114945511157
2022-03-02,SUP,1.52173221757322
2022-03-03,SUP,1.56482025450689
2022-03-04,SUP,1.61494810058855
2022-03-05,SUP,1.65711702688455
2022-03-06,SUP,1.6528049171566
2022-03-07,SUP,1.64747226709747
2022-03-08,SUP,1.71965351812367
2022-03-09,SUP,1.794058283864
2022-03-10,SUP,1.88711413043478
2022-03-11,SUP,1.91364456521739
2022-03-12,SUP,1.92404104477612
2022-03-13,SUP,1.91784838880085
2022-03-14,SUP,1.91021025104603
2022-03-15,SUP,1.90757631578947
2022-03-16,SUP,1.90246308724832
2022-03-17,SUP,1.87431427099433
2022-03-18,SUP,1.79593236964378
2022-03-19,SUP,1.75605030800821
2022-03-20,SUP,1.73735555555556
2022-03-21,SUP,1.71865451664025
2022-03-22,SUP,1.70207793575566
2022-03-23,SUP,1.71061840041819
2022-03-24,SUP,1.72219170984456
2022-03-25,SUP,1.74040940306392
2022-03-26,SUP,1.75422216414009
2022-03-27,SUP,1.74566924265842
2022-03-28,SUP,1.73604468412943
2022-03-29,SUP,1.74793622582331
2022-03-30,SUP,1.74752356020942
2022-03-31,SUP,1.73300876740588
2022-04-02,SUP,1.7165859938208
2022-04-03,SUP,1.70777835318488
2022-04-04,SUP,1.6992188449848
2022-04-05,SUP,1.70207363542739
2022-04-06,SUP,1.6989487704918
2022-04-07,SUP,1.69530985196529
2022-04-08,SUP,1.69130392656808
2022-04-09,SUP,1.68587908666321
2022-04-10,SUP,1.67448663926002
2022-04-11,SUP,1.6654149694501
2022-04-12,SUP,1.66944031007752
2022-04-13,SUP,1.6711045617632
2022-04-14,SUP,1.67461550308008
2022-04-15,SUP,1.68409913132345
2022-04-16,SUP,1.69769348054679
2022-04-17,SUP,1.68604464285714
2022-04-18,SUP,1.67848550724638
2022-04-19,SUP,1.67042107969152
2022-04-20,SUP,1.68644386694387
2022-04-21,SUP,1.69376996484179
2022-04-22,SUP,1.70111894953656
2022-04-23,SUP,1.70797502601457
2022-04-24,SUP,1.69737228541882
2022-04-25,SUP,1.68711695607763
2022-04-26,SUP,1.68991666666667
2022-04-27,SUP,1.68625497195309
2022-04-28,SUP,1.69287570332481
2022-04-30,SUP,1.71943272727273
2022-05-01,SUP,1.71122385706779
2022-05-02,SUP,1.70261038280021
2022-05-03,SUP,1.71993246753247
2022-05-04,SUP,1.73571931641636
2022-05-05,SUP,1.74309862033725
2022-05-06,SUP,1.74427751695357
2022-05-07,SUP,1.75071592689295
2022-05-08,SUP,1.74224010416667
2022-05-09,SUP,1.73468264721209
2022-05-10,SUP,1.74800314630309
2022-05-11,SUP,1.75116779572694
2022-05-12,SUP,1.75426673640167
2022-05-13,SUP,1.75648614741244
2022-05-14,SUP,1.76709973614776
2022-05-15,SUP,1.75974947033898
2022-05-16,SUP,1.75119353155973
2022-05-17,SUP,1.76732910723719
2022-05-18,SUP,1.78582643312102
2022-05-19,SUP,1.79828384050367
2022-05-20,SUP,1.80333037578288
2022-05-21,SUP,1.80910990150337
2022-05-22,SUP,1.79751407716371
2022-05-23,SUP,1.7897868177137
2022-05-24,SUP,1.79885891472868
2022-05-25,SUP,1.8000078410873
2022-05-26,SUP,1.80336918304033
2022-05-27,SUP,1.7903792746114
2022-05-28,SUP,1.81111642743222
2022-05-29,SUP,1.80503656597774
2022-05-30,SUP,1.80004031830239
2022-05-31,SUP,1.82058129649309
2022-06-01,SUP,1.86111257233035
2022-06-02,SUP,1.89057335490831
2022-06-03,SUP,1.92707683982684
2022-06-04,SUP,1.96174567099567
2022-06-05,SUP,1.95834059511158
2022-06-06,SUP,1.95624378378378
2022-06-07,SUP,1.95333064081852
2022-06-08,SUP,1.98306009488666
2022-06-09,SUP,2.00394383775351
2022-06-10,SUP,2.02505830753354
2022-06-11,SUP,2.04683254593176
2022-06-12,SUP,2.0307745302714
2022-06-13,SUP,2.02646233766234
2022-06-14,SUP,2.04892805755396
2022-06-15,SUP,2.06179602243753
2022-06-16,SUP,2.07200572320499
2022-06-17,SUP,2.06241973415133
2022-06-18,SUP,2.07462896622313
2022-06-19,SUP,2.06783680732079
2022-06-20,SUP,2.05880518134715
2022-06-21,SUP,2.06374434156379
2022-06-22,SUP,2.06734488541084
2022-06-23,SUP,2.07221754932503
2022-06-24,SUP,2.07561007268951
2022-06-25,SUP,2.07809297520661
2022-06-26,SUP,2.06996992864424
2022-06-27,SUP,2.05857971014493
2022-06-28,SUP,2.06502902240326
2022-06-29,SUP,2.06461287027579
2022-06-30,SUP,2.06633874239351
