"","date","fuelType","nuts2","priceMean","n"
"324","2021-01-17","SUP","N",1.09936404494382,445
"325","2021-01-17","DIE","B",1.027176,125
"326","2021-01-17","SUP","B",1.08483838383838,99
"327","2021-01-17","DIE","O",1.05080147058823,408
"328","2021-01-17","SUP","O",1.09804724409449,381
"329","2021-01-17","DIE","Sa",1.0585724137931,145
"330","2021-01-17","SUP","Sa",1.11422834645669,127
"331","2021-01-17","DIE","T",1.07587671232877,219
"332","2021-01-17","SUP","T",1.11646829268293,205
"333","2021-01-17","DIE","V",1.0589746835443,79
"334","2021-01-17","SUP","V",1.1153698630137,73
"335","2021-01-17","DIE","St",1.03380053191489,376
"336","2021-01-17","SUP","St",1.08674143302181,321
"337","2021-01-17","DIE","K",1.06490728476821,151
"338","2021-01-17","SUP","K",1.13859712230216,139
"339","2021-01-17","DIE",NA,1.05166470588235,2210
"340","2021-01-17","SUP",NA,1.1044549689441,1932
"341","2021-01-18","DIE","W",1.06459333333333,150
"342","2021-01-18","SUP","W",1.11660416666667,144
"343","2021-01-18","DIE","N",1.04269928825623,562
"344","2021-01-18","SUP","N",1.09284738041002,439
"345","2021-01-18","DIE","B",1.02447154471545,123
"346","2021-01-18","SUP","B",1.08153535353535,99
"347","2021-01-18","DIE","O",1.04598288508557,409
"348","2021-01-18","SUP","O",1.09413315926893,383
"349","2021-01-18","DIE","Sa",1.04774647887324,142
"350","2021-01-18","SUP","Sa",1.10583739837398,123
"351","2021-01-18","DIE","T",1.07073913043478,230
"352","2021-01-18","SUP","T",1.10752427184466,206
"353","2021-01-18","DIE","V",1.04417283950617,81
"354","2021-01-18","SUP","V",1.09545070422535,71
"355","2021-01-18","DIE","St",1.03166753246753,385
"356","2021-01-18","SUP","St",1.08322153846154,325
"357","2021-01-18","DIE","K",1.05823448275862,145
"358","2021-01-18","SUP","K",1.12706106870229,131
"359","2021-01-18","DIE",NA,1.04614593623709,2227
"360","2021-01-18","SUP",NA,1.09750806871421,1921
"361","2021-01-19","DIE","W",1.08159027777778,144
"362","2021-01-19","SUP","W",1.13731034482759,145
"363","2021-01-19","DIE","N",1.04939399293286,566
"364","2021-01-19","SUP","N",1.10473788546256,454
"365","2021-01-19","DIE","B",1.02852845528455,123
"366","2021-01-19","SUP","B",1.08763,100
"367","2021-01-19","DIE","O",1.04938129496403,417
"368","2021-01-19","SUP","O",1.09770810810811,370
"369","2021-01-19","DIE","Sa",1.06,147
"370","2021-01-19","SUP","Sa",1.12140157480315,127
"371","2021-01-19","DIE","T",1.07539170506912,217
"372","2021-01-19","SUP","T",1.11335436893204,206
"373","2021-01-19","DIE","V",1.05164,75
"374","2021-01-19","SUP","V",1.1052972972973,74
"375","2021-01-19","DIE","St",1.03664690026954,371
"376","2021-01-19","SUP","St",1.08979573170732,328
"377","2021-01-19","DIE","K",1.06851724137931,145
"378","2021-01-19","SUP","K",1.1398417266187,139
"379","2021-01-19","DIE",NA,1.05278503401361,2205
"380","2021-01-19","SUP",NA,1.10696242923314,1943
"381","2021-01-20","DIE","W",1.08361643835616,146
"382","2021-01-20","SUP","W",1.14053378378378,148
"383","2021-01-20","DIE","N",1.05158035714285,560
"384","2021-01-20","SUP","N",1.10301822323463,439
"385","2021-01-20","DIE","B",1.03140476190476,126
"386","2021-01-20","SUP","B",1.08722916666667,96
"387","2021-01-20","DIE","O",1.05204422604423,407
"388","2021-01-20","SUP","O",1.10240970350404,371
"389","2021-01-20","DIE","Sa",1.06265734265734,143
"390","2021-01-20","SUP","Sa",1.1246992481203,133
"391","2021-01-20","DIE","T",1.07885135135135,222
"392","2021-01-20","SUP","T",1.11516346153846,208
"393","2021-01-20","DIE","V",1.05787012987013,77
"394","2021-01-20","SUP","V",1.11975,76
"395","2021-01-20","DIE","St",1.03480434782609,368
"396","2021-01-20","SUP","St",1.09112383900929,323
"397","2021-01-20","DIE","K",1.07252666666667,150
"398","2021-01-20","SUP","K",1.14253676470588,136
"399","2021-01-20","DIE",NA,1.05495225102319,2199
"400","2021-01-20","SUP",NA,1.10924870466321,1930
"401","2021-01-21","DIE","W",1.08355,140
"402","2021-01-21","SUP","W",1.13876428571429,140
"403","2021-01-21","DIE","N",1.05546584938704,571
"404","2021-01-21","SUP","N",1.10945842696629,445
"405","2021-01-21","DIE","B",1.032453125,128
"406","2021-01-21","SUP","B",1.09173267326733,101
"407","2021-01-21","DIE","O",1.05473284313725,408
"408","2021-01-21","SUP","O",1.10337400530504,377
"409","2021-01-21","DIE","Sa",1.07126388888889,144
"410","2021-01-21","SUP","Sa",1.12233858267717,127
"411","2021-01-21","DIE","T",1.08273557692308,208
"412","2021-01-21","SUP","T",1.12701,200
"413","2021-01-21","DIE","V",1.06737974683544,79
"414","2021-01-21","SUP","V",1.12949367088608,79
"415","2021-01-21","DIE","St",1.03884054054054,370
"416","2021-01-21","SUP","St",1.09171118012422,322
"417","2021-01-21","DIE","K",1.07217333333333,150
"418","2021-01-21","SUP","K",1.14683088235294,136
"419","2021-01-21","DIE",NA,1.05816378525933,2198
"420","2021-01-21","SUP",NA,1.11263207057602,1927
"421","2021-01-22","DIE","W",1.08755172413793,145
"422","2021-01-22","SUP","W",1.13742857142857,140
"423","2021-01-22","DIE","N",1.06034554973822,573
"424","2021-01-22","SUP","N",1.11223981900453,442
"425","2021-01-22","DIE","B",1.032024,125
"426","2021-01-22","SUP","B",1.08991397849462,93
"427","2021-01-22","DIE","O",1.05766666666667,408
"428","2021-01-22","SUP","O",1.10540374331551,374
"429","2021-01-22","DIE","Sa",1.06739416058394,137
"430","2021-01-22","SUP","Sa",1.12739516129032,124
"431","2021-01-22","DIE","T",1.08511111111111,216
"432","2021-01-22","SUP","T",1.128675,200
"433","2021-01-22","DIE","V",1.07434939759036,83
"434","2021-01-22","SUP","V",1.12629487179487,78
"435","2021-01-22","DIE","St",1.03710569105691,369
"436","2021-01-22","SUP","St",1.09020061728395,324
"437","2021-01-22","DIE","K",1.07734,150
"438","2021-01-22","SUP","K",1.1579219858156,141
"439","2021-01-22","DIE",NA,1.06069129646419,2206
"440","2021-01-22","SUP",NA,1.11456576200418,1916
"441","2021-01-23","SUP","W",1.14767132867133,143
"442","2021-01-23","DIE","W",1.09416666666667,150
"443","2021-01-23","DIE","N",1.06123867595819,574
"444","2021-01-23","SUP","N",1.11515777777778,450
"445","2021-01-23","DIE","B",1.03686991869919,123
"446","2021-01-23","SUP","B",1.0957,100
"447","2021-01-23","DIE","O",1.06279240506329,395
"448","2021-01-23","SUP","O",1.11307479224377,361
"449","2021-01-23","DIE","Sa",1.07175172413793,145
"450","2021-01-23","SUP","Sa",1.138888,125
"451","2021-01-23","DIE","T",1.08702450980392,204
"452","2021-01-23","SUP","T",1.1374039408867,203
"453","2021-01-23","DIE","V",1.08477647058824,85
"454","2021-01-23","SUP","V",1.1376301369863,73
"455","2021-01-23","DIE","St",1.04337637362637,364
"456","2021-01-23","SUP","St",1.09608201892745,317
"457","2021-01-23","DIE","K",1.08154166666667,144
"458","2021-01-23","SUP","K",1.1603115942029,138
"459","2021-01-23","SUP",NA,1.12105235602094,1910
"460","2021-01-23","DIE",NA,1.06479304029304,2184
"461","2021-01-24","DIE","W",1.08155405405405,148
"462","2021-01-24","SUP","W",1.13332876712329,146
"463","2021-01-24","DIE","N",1.05652705061082,573
"464","2021-01-24","SUP","N",1.10840666666667,450
"465","2021-01-24","DIE","B",1.03361157024793,121
"466","2021-01-24","SUP","B",1.09234653465347,101
"467","2021-01-24","DIE","O",1.05593103448276,406
"468","2021-01-24","SUP","O",1.10309917355372,363
"469","2021-01-24","DIE","Sa",1.05990344827586,145
"470","2021-01-24","SUP","Sa",1.12213178294574,129
"471","2021-01-24","DIE","T",1.08323502304147,217
"472","2021-01-24","SUP","T",1.12888837209302,215
"473","2021-01-24","DIE","V",1.0679756097561,82
"474","2021-01-24","SUP","V",1.1229125,80
"475","2021-01-24","DIE","St",1.03744562334217,377
"476","2021-01-24","SUP","St",1.08956923076923,325
"477","2021-01-24","DIE","K",1.07404195804196,143
"478","2021-01-24","SUP","K",1.15451111111111,135
"479","2021-01-24","DIE",NA,1.05798462929476,2212
"480","2021-01-24","SUP",NA,1.11227829218107,1944
"481","2021-01-25","DIE","W",1.07076821192053,151
"482","2021-01-25","SUP","W",1.12003355704698,149
"483","2021-01-25","DIE","N",1.0512235915493,568
"484","2021-01-25","SUP","N",1.10084175824176,455
"485","2021-01-25","DIE","B",1.03136974789916,119
"486","2021-01-25","SUP","B",1.0886,100
"487","2021-01-25","DIE","O",1.04883870967742,403
"488","2021-01-25","SUP","O",1.09463636363636,363
"489","2021-01-25","DIE","Sa",1.05294366197183,142
"490","2021-01-25","SUP","Sa",1.11460902255639,133
"491","2021-01-25","DIE","T",1.07731718061674,227
"492","2021-01-25","SUP","T",1.1171756097561,205
"493","2021-01-25","DIE","V",1.05270886075949,79
"494","2021-01-25","SUP","V",1.10233802816901,71
"495","2021-01-25","DIE","St",1.03366577540107,374
"496","2021-01-25","SUP","St",1.08484923076923,325
"497","2021-01-25","DIE","K",1.06415972222222,144
"498","2021-01-25","SUP","K",1.14646376811594,138
"499","2021-01-25","DIE",NA,1.05177118260082,2207
"500","2021-01-25","SUP",NA,1.10381588447653,1939
"501","2021-01-26","DIE","W",1.08864383561644,146
"502","2021-01-26","SUP","W",1.13391095890411,146
"503","2021-01-26","DIE","N",1.05764499121265,569
"504","2021-01-26","SUP","N",1.10916556291391,453
